Company,ActiveBrand,Headquarters,Employees,Founded,LeadExecutive,ParentStockTicker,ParentPublicExposure,PrimarySector,PrimarySubSector,ImmigrationDetentionInvolvement,SupportsPrisonLabor,HarmScore,AnnualRevenuesMn,RevenueFiscalYear,Website,Corrections,ImmigrationDetention,PrisonLabor,Financials,Other ,Rank
Royal Dutch Shell,Y,Netherlands,"92,000",1907,Ben Van Beurden,RDS.A,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"344,877.00",2019,https://www.shell.com/,See MP2 Energy,n/a,n/a,FactSet,n/a,1
Amazon,Y,WA,"566,000",1994,Jeff Bezoz,AMZN,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,13,"280,522.00",2019,https://www.amazon.com,https://aws.amazon.com/stateandlocal/justice-and-public-safety/,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,FactSet,https://www.amazon.com/gp/help/customer/display.html/ref=hp_left_sib?ie=UTF8&nodeId=201117650,2
Berkshire Hathaway,Y,NE,"377,000",1839,Warren Buffett,BRK.A,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Y,Y,10,"253,997.00",2019,http://www.berkshirehathaway.com/,"See CTB, MidAmerican Energy Services, Fecheimer, 3Wire Group, Shaw Industries Group",n/a,https://www.wsj.com/articles/SB10001424052970203436904577155042652527240,FactSet,http://www.berkshirehathaway.com/subs/sublinks.html,3
McKesson,Y,CA,"78,000",1833,Jonh Hammergren,MCK,Tier 1b - Publicly Traded - Other,Healthcare,Pharmacy,n/a,n/a,8,"214,319.00",2019,http://www.mckesson.com/,NYS DOCCS Spending,n/a,n/a,FactSet,n/a,4
AT&T,Y,TX,"252,000",1983,Randall Stephenson,T,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,9,"181,265.00",2019,https://www.att.com/,https://www.corp.att.com/public-safety/,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,http://www.gores.com/pressreleases/gores-technology-group-llc-acquires-national-public-markets-from-att-corporation/,5
Amerisource Bergen,Y,PA,"21,000",1871,Steven H. Collis,ABC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,n/a,n/a,9,"179,589.10",2019,https://www.amerisourcebergen.com/,NYS DOCCS Spending,n/a,n/a,FactSet,https://s24.q4cdn.com/386340686/files/doc_financials/annual_reports/2018-Summary-Annual-Report.pdf,6
Ford Motor Company,Y,MI,"202,000",1903,Jim Hackett,F,Tier 1b - Publicly Traded - Other,Transportation,Agency Transportation,n/a,n/a,7,"155,900.00",2019,https://www.ford.com/,TDCJ Spending,n/a,n/a,FactSet,n/a,7
Cardinal Health,Y,OH,"50,000",1971,Michael C. Kaugmann,CAH,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,n/a,n/a,9,"145,534.00",2019,http://www.cardinalhealth.com/en.html,NYS DOCCS Spending,n/a,n/a,FactSet,n/a,8
Cigna,Y,CT,"46,000",1982,David Cordani,CI,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,n/a,n/a,7,"140,175.00",2019,https://www.cigna.com/,See Express Scripts/Accredo,n/a,n/a,FactSet,n/a,9
General Motors,Y,MI,"180,000",1908,Mary T. Barra,GM,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Transportation,Other,n/a,n/a,9,"137,251.00",2019,https://www.gm.com/,See OnStar,n/a,n/a,FactSet,https://www.statista.com/statistics/225349/revenue-of-general-motors/,10
Walgreens Pharmacy,Y,IL,n/a,1901,Stefano Pessina,WBA,Tier 1b - Publicly Traded - Other,Healthcare,Pharmacy,n/a,n/a,7,"136,866.00",2019,https://www.walgreens.com/,California Spending Data - 2018,n/a,n/a,FactSet,n/a,11
Verizon,Y,NY,"155,400",1983,Hans Vestberg,VZ,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,7,"131,868.00",2019,https://www.verizonwireless.com/homepage/,FL DOC Spending,n/a,n/a,FactSet,https://www.majorcitieschiefs.com/sponsors.php,12
Microsoft,Y,WA,"124,000",1975,Satya Nadella,MSFT,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Y,n/a,11,"125,843.00",2019,https://www.microsoft.com/en-us/defaultb.aspx,https://facts.fldfs.com/Search/PurchaseOrderDetails.aspx?AgencyId=700000&PONo=A8A0CB&Tab=1,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,FactSet,http://www.ijis.org/?page=sustaining_members,13
JP Morgan Chase,Y,NY,"252,539",1799,Jamie Dimon,JPM,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",Y,n/a,9,"118,692.00",2019,https://www.jpmorganchase.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,https://news.littlesis.org/2018/06/21/who-is-profiting-from-incarcerating-immigrant-families/,n/a,FactSet,https://www.nytimes.com/2019/03/06/business/jp-morgan-prisons.html,14
Cargill,Y,MN,"160,000",1865,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Food & Commissary,Prison Food,n/a,n/a,"n/a,","113,500.00",2019,https://www.cargill.com/,NYS DOCCS Spending,n/a,n/a,PrivCo (www.privco.com),n/a,15
Home Depot,Y,GA,"413,000",1978,Craig Menear,HD,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,8,"110,225.00",2020,https://www.homedepot.com/,See Interline Brands,n/a,n/a,FactSet,https://careers.homedepot.com/interline/,16
Anthem,Y,IN,"56,000",2001,Gail K. Boudreaux,ANTM,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Medical Healthcare,n/a,n/a,9,"103,141.00",2019,https://www.antheminc.com/,See HealthCore,n/a,n/a,FactSet,https://www.antheminc.com/Companies/AffiliatedSpecialtyCompanies/index.htm,17
Express Scripts,Y,MO,"26,600",1986,n/a,CI,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,n/a,n/a,7,"100,064.60",2017,https://www.express-scripts.com/,See Accredo,n/a,n/a,https://www.sec.gov/Archives/edgar/data/1532063/000153206318000004/esrx-12312017x10k.htm#s2149B87B8B64575ABD65BA2699DA7AEC,https://www.nytimes.com/2018/03/08/business/dealbook/cigna-express-scripts.html?mtrref=www.google.com,18
Geely,Y,China,"52,400",1997,Sheng Yue Gui,GELYF,Tier 1b - Publicly Traded - Other,Transportation,Agency Transportation,n/a,n/a,7,"97,401.30",2019,http://global.geely.com/,See Volvo,n/a,n/a,FactSet,n/a,19
General Electric,Y,MA,"313,000",1892,"H. Lawrence Culp, Jr.",GE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",n/a,n/a,9,"95,214.00",2019,https://www.ge.com/,"See GE Capital, GE Healthcare; FBOP Spending",n/a,n/a,FactSet,http://quotes.wsj.com/GE/financials/annual/income-statement,20
Siemens,Y,Germany,"87,800",1847,Joe Kaeser,SIE-DE,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Maintenance Services,n/a,n/a,7,"94,226.80",2019,https://www.siemens.com/,NYS DOCCS Spending,n/a,n/a,FactSet,n/a,21
Dell Technologies,Y,TX,"138,000",1984,Michael Dell,DELL,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Y,n/a,8,"92,154.00",2020,http://www.dell.com/en-us,FL DOC Spending,https://www.theverge.com/2018/6/20/17485238/ice-contract-microsoft-motorola-dell-hp-enterprise-deportation,n/a,FactSet,n/a,22
Bank of America,Y,NC,"209,000",1998,Brian T. Moynihan,BAC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",Y,n/a,9,"91,244.00",2019,https://www.bankofamerica.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,https://news.littlesis.org/2018/06/21/who-is-profiting-from-incarcerating-immigrant-families/,n/a,FactSet,https://www.majorcitieschiefs.com/sponsors.php,23
Deutsche Telekom,Y,Germany,"216,000",1995,Timotheus Höttges,DTE-DE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,8,"87,372.10",2019,https://www.telekom.com/en,See T-Mobile,n/a,n/a,FactSet,https://www.wsj.com/articles/SB964424432543482052,24
Wells Fargo,Y,CA,n/a,1852,Charls Scharf,WFC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",Y,Y,9,"85,063.00",2019,https://www.wellsfargo.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,https://news.littlesis.org/2018/06/21/who-is-profiting-from-incarcerating-immigrant-families/,https://www.greenamerica.org/hidden-workers-fighting-change/sale-now-prison-labor,FactSet,n/a,25
IBM,Y,NY,"380,300",1911,Arvind Krishna,IBM,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,8,"77,147.00",2019,https://www.ibm.com/us-en/,NYS DOCCS Spending,https://abcnews.go.com/ABC_Univision/Politics/15-companies-profit-border-security/story?id=18957304,n/a,FactSet,http://www.ijis.org/?page=Member_List,26
United Technologies,Y,CT,"205,000",1934,Gregory J. Hayes,UTX,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Construction,Y,n/a,11,"77,046.00",2019,http://www.utc.com/,See NORESCO,https://www.thenation.com/article/creating-military-industrial-immigration-complex/,n/a,FactSet,https://www.carrier.com/carrier/en/rs/news/news-article/carrier_acquires_noresco_to_expand_energy_solutions_capabilities.aspx,27
Centene,Y,MO,"64,000",1984,Michael F. Neidorff,CNC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Medical Healthcare,n/a,n/a,13,"74,639.00",2019,https://www.centene.com/,https://www.centene.com/who-we-help/correctional-health.html,n/a,n/a,FactSet,https://www.buzzfeed.com/chrismcdaniel/missouri-executed-17-men-with-drugs-from-a-high-risk?utm_term=.gw2a6GwN8#.sdJQempj7,28
Citigroup,Y,NY,"209,000",1812,Michael L. Corbat,C,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",n/a,n/a,9,"74,286.00",2019,http://www.citigroup.com/citi/,NYS DOCCS Spending,n/a,n/a,FactSet,n/a,29
