Company,ActiveBrand,Headquarters,Continent,Employees,Founded,LeadExecutive,ParentStockTicker,ParentPublicExposure,PrimarySector,PrimarySubSector,ImmigrationDetentionInvolvement,SupportsPrisonLabor,HarmScore,AnnualRevenuesMn,RevenueFiscalYear,Website,Corrections,ImmigrationDetention,PrisonLabor,Financials,Other ,Rank
Teva Pharmaceuticals,Y,Israel,Africa,51 800,1944,Kåre Schultz,TEVA,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,n/a,n/a,9,16 887.00,2019,http://www.tevapharm.com/,See Anda,n/a,n/a,FactSet,http://www.tevapharm.com/news/teva_announces_acquisition_of_anda_inc_08_16.aspx,140
Nice Systems,Y,Israel,Africa,5 900,1986,Barak Eilam ,NICE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,Y,n/a,12,1 577.50,2019,http://www.nice.com/,https://www.nice.com/protecting/what-we-do,https://electronicintifada.net/content/how-israels-war-industry-profits-violent-us-immigration-reform/13283,n/a,FactSet,https://www.majorcitieschiefs.com/sponsors.php,413
Magal Security Systems,Y,Israel,Africa,406,1965,Dror Sharon,MAGS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Equipment,n/a,n/a,14,86.80,2019,https://magalsecurity.com/,https://magalsecurity.com/markets/correctional-facilities,n/a,n/a,FactSet,n/a,882
Attenti (formerly 3M Electronic Monitoring),Y,Israel,Africa,265,1990,Boaz Raviv,n/a,Tier 2 - Investment Firm-Owned,Community Corrections,Electronic Monitoring,n/a,n/a,13,95.00,2017,http://www.3m.com/3M/en_US/public-safety-us/,See website,n/a,n/a,http://www.apax.com/news/apax-news/2017/funds-advised-by-apax-partners-to-acquire-3m%E2%80%99s-electronic-monitoring-business/,https://www.haaretz.com/1.5107827,862
SuperCom,Y,Israel,Africa,246,1988,Arie Trabelsi,SPCB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Community Corrections,Electronic Monitoring,n/a,n/a,13,23.00,2018,http://www.supercom.com/,http://www.supercom.com/hls,n/a,n/a,FactSet,n/a,1248
Geely,Y,China,Asia,52 400,1997,Sheng Yue Gui,GELYF,Tier 1b - Publicly Traded - Other,Transportation,Agency Transportation,n/a,n/a,7,97 401.30,2019,http://global.geely.com/,See Volvo,n/a,n/a,FactSet,n/a,19
Ninestar (Apex Technology,Y,China,Asia,100,2004,Jimmy Hu,001280-SZ,Tier 1b - Publicly Traded - Other,Equipment,Security Technology,n/a,n/a,7,3 097.60,2019,https://chinapex.com/about,See Lexmark International,n/a,n/a,n/a,https://newsroom.lexmark.com/2016-11-29-Lexmark-announces-completion-of-acquisition-by-Apex-Technology-and-PAG-Asia-Capital,327
Canon,Y,Japan,Asia,197 673,1937,Fujio Mitarai,CAJ,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Furnishings  Supplies  & Other Facility Equipment,Y,n/a,9,33 064.60,2019,http://global.canon/en/index.html,TDCJ Spending,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,https://www.macrotrends.net/stocks/charts/CAJ/canon/revenue,77
Bridgestone,Y,Japan,Asia,142 669,1931,Masaaki Tsuya,5108-JP,Tier 1b - Publicly Traded - Other,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,n/a,8,32 776.50,2019,https://www.bridgestone.com/,TDCJ Spending,n/a,n/a,FactSet,n/a,78
NTT Data,Y,Japan,Asia,118 006,1988,Bob Pryor,9613-JP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,9,20 114.60,2019,https://www.nttdata.com/global/en/,NYS DOCCS Spending,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,FactSet,https://us.nttdata.com/en/industries/public-sector,122
NEC Corporation,Y,Japan,Asia,107 729,1899,Takashi Niino,6701-JP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,Y,n/a,12,27 085.40,2019,https://www.necam.com/,https://www.necam.com/AdvancedRecognitionSystems/LawEnforcement/,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,FactSet,http://www.ijis.org/?page=sustaining_members,98
Fujifilm,Y,Japan,Asia,78 501,1934,Shigetaka Komori,4901-JP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,n/a,8,22 604.80,2019,http://www.fujifilm.com/,See Xerox,n/a,n/a,FactSet,n/a,111
MuRata Manufacturing,Y,Japan,Asia,75 326,1944,Tsuneo Murata,6981-JP,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,9,14 642.60,2019,https://www.murata.com/,https://aja.multiview.com/,n/a,n/a,FactSet,n/a,155
Kyocera Group,Y,Japan,Asia,70 153,1959,Kazuo Inamori ,6971-JP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,Arrest  Court  & Probation Data Systems,n/a,n/a,10,15 095.20,2019,https://global.kyocera.com/,See DataBank IMX,n/a,n/a,FactSet,https://usa.kyoceradocumentsolutions.com/en/about-us/press-center/august-2--2017--one-of-worlds-leading-document-solutions-compani.html,149
Konica Minolta,Y,Japan,Asia,43 979,2003,Shoei Yamana,4902-JP,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,7,9 846.30,2019,https://www.konicaminolta.com/,OH DRC Spending,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,n/a,203
TokioMarine,Y,Japan,Asia,39 191,1879,Satoru Komiya,TKOMY,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Community Corrections,Bail & Surety,n/a,n/a,12,49 802.00,2019,https://tmamerica.com/,https://www.aclu.org/report/selling-our-freedom-how-insurance-corporations-have-taken-over-our-bail-system,n/a,n/a,FactSet,n/a,44
JVC Kenwood,Y,Japan,Asia,18 051,2008,Shoichiro Eguchi,6632-JP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,n/a,10,2 859.90,2019,http://www.jvckenwood.com/,http://www.jvckenwood.com/en/corporate/strategy/publicservice/,n/a,n/a,FactSet,https://www.apcointl.org/commercial-community/corporate-partner-program.html,338
Daiwa Securities,Y,Japan,Asia,14 791,1902,Hibino Takashi,8601-JP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,Construction  Equipment  & Acquisition Financing,n/a,n/a,9,6 699.10,2019,http://www.daiwa-grp.jp/english/,See DCS Advisory,n/a,n/a,FactSet,n/a,239
Nissin Foods,Y,Japan,Asia,11 200,1948,Koki Ando,2897-JP,Tier 1b - Publicly Traded - Other,Food & Commissary,Commissary,n/a,n/a,9,4 192.70,2019,https://www.nissinfoods.com/,TDCJ Spending,n/a,n/a,FactSet,n/a,298
Marubeni,Y,Japan,Asia,4 458,1858,Masumi Kakinoki,8002-JP,Tier 1b - Publicly Traded - Other,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,n/a,9,68 807.30,2019,https://www.marubeni.com/,See Helena Chemical,n/a,n/a,FactSet,n/a,33
OPTEX,Y,Japan,Asia,1 807,1979,Rob Blair,6914-JP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Construction,n/a,n/a,13,348.80,2019,https://www.optexamerica.com/,See Fiber SenSys,n/a,n/a,FactSet,http://www.optex.net/global/group.html,625
