Company,Active Brand (Y/N),Headquarters,Employees,Founded,Last Acquired,Lead Executive,Owner/Major Investor,Parent Company,Parent Stock Ticker,Parent Public Exposure,Primary Sector,Primary Sub-sector,Secondary Sector,Secondary Sub-sector,Immigration Detention Involvement,Supports Prison Labor,"Harm Score
(3-15)",Divestment (Y/N),Annual Revenues (Mn),Revenue Fiscal Year," Prison Industry Revenue Only
(Y/N)",Political Spending (Cumalative Since 2010),Notes,Website,Corrections,Immigration Detention,Prison Labor,Financials,Other 
1st Advanced EMS,Y,OH,78,2004,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Ambulance Services,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://1stadvems.com/,OH DRC Spending,n/a,n/a,n/a,https://procure.ohio.gov///conamendment/ot900712_PDF_021.pdf
1st Choice Restaurant Equipment & Supply,Y,TX,,1971,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.1stchoiceres.com/,TDCJ Spending,n/a,n/a,n/a,https://govtribe.com/vendors/1st-choice-restaurant-equipment-supply-llc-4v9g6
2 K General,Y,OH,40,1999,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,n/a,n/a,n/a,n/a,"n/a,",n/a,$6.0,2018,N,n/a,n/a,http://www.2kgeneral.com/,http://www.2kgeneral.com/portfolio/,n/a,n/a,PrivCo (www.privco.com),http://www.2kgeneral.com/portfolio-items/scioto-juvenile-correctional-facility/
316 VanGo,Y,NY,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Transportation,Visitor Transportation,n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://www.316transportationservice.com/,See website,n/a,n/a,n/a,n/a
360 IT Integrated Solutions,Y,VA,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,Y,n/a,"n/a,",n/a,,,N,n/a,n/a,http://360itis.com/Solutions/default.html,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,n/a,n/a
3DA Display,Y,MI,,2008,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,"n/a,",n/a,,,N,n/a,n/a,https://www.3dadisplay.com/,https://www.nationalcia.org/corporate-members,n/a,See corrections source,n/a,n/a
3M,Y,MN,"93,516",1902,n/a,Mike Roman,n/a,n/a,MMM,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Programs & Labor,Vocation/Industries (Prison Labor),Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,13,Y,"$32,136.0",2019,N,n/a,Sold off its electronic monitoring businessfor $200 M and identity management business for $850 M in 2017; Sold off Ballistic Protection Business for $91.0MM to Avon Rubber PLC Jan 2020,https://www.3m.com/3M/en_US/company-us/,https://www.nationalcia.org/corporate-members,n/a,https://www.nationalcia.org/corporate-members,FactSet,http://news.3m.com/press-release/company-english/3m-sell-its-electronic-monitoring-business-transportation-safety-divis
3S Sports & Tactical Gear,Y,VA,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.3stactical.com/,See website,n/a,n/a,n/a,n/a
3Wire Group,Y,MN,205,2001,2008,n/a,n/a,Berkshire Hathaway,BRK.A,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Kitchen Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,7,n/a,,,N,n/a,Acquired by Berkshire Hathaway in 2007 as part of Marmon for $4.5 B; Parts Town acquired foodservice parts distribution and field service businss assets of 3Wire Group May 2018,https://www.3wire.com/,TDCJ Spending,n/a,n/a,n/a,https://dealbook.nytimes.com/2007/12/25/buffett-to-buy-marmon-from-pritzker-family/
4 Star Hose & Supply,Y,TX,70,1983,2019,Sam Petillo,AEA Investors,SBP Holdings/Singer Equities,n/a,Tier 2 - Investment Firm-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,7,n/a,,,N,n/a,Acquired by Singer Equities in 2019,http://www.4starhose.com/,TDCJ Spending,n/a,See corrections source,n/a,https://www.inddist.com/mergers-acquisitions/news/13777809/singer-equities-acquires-4star-hose-supply
4Bike-Police,Y,AR,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://www.4bike-police.com/,See website,n/a,n/a,n/a,n/a
5.11 (Tactical),Y,CA,550,2003,2016,n/a,n/a,"Compass Group, The",CODI,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Equipment,n/a,n/a,n/a,n/a,14,Y,$310.0,2018,N,n/a,Acquired by Compass Group in 2016,http://www.511tactical.com,http://www.511tactical.com/public-safety/law-enforcement.html,n/a,n/a,PrivCo (www.privco.com),https://www.compassequity.com/companies/5-11-tactical/
555 International,Y,IL,150,1987,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,$39.0,2018,N,n/a,n/a,http://www.555.com/,See New Star Lighting,n/a,n/a,PrivCo (www.privco.com),https://newstarlighting.com/applications/correctional/
7th Ave Roastery,Y,OK,,2011,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://7thaveroastery.com/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310004005-T.pdf,n/a,n/a,n/a,n/a
A & D Water Systems,Y,FL,,1994,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.adwatersystems.com/,https://facts.fldfs.com/Search/AdvancedSearchResult.aspx,n/a,n/a,n/a,n/a
A & E Low Vision Products,Y,CA,,2003,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://aelowvision.com/,California Spending Data - 2018,n/a,n/a,n/a,n/a
A C Staffing,Y,FL,,2004,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,Personnel,Third Party Staffing,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.ac-healthcare.com/,https://facts.fldfs.com/Search/ContractSearch.aspx,n/a,n/a,n/a,n/a
A Fresh Start Emergency Network,Y,MO,,1998,n/a,Wilma R. Williams,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Utility/Energy,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.afeenapetroleum.com,http://correctionsmarketplace.com/,n/a,n/a,n/a,https://www.bbb.org/stlouis/business-reviews/oil-marketing/a-fresh-start-emergency-network-llc-in-saint-louis-mo-310021091
A To Z Prison Service,Y,NY,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Transportation,Visitor Transportation,n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://atozprisonservice.com/,See website,n/a,n/a,n/a,n/a
A Tovar Termite & Pest Control,Y,CA,,1993,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://atovarpestcontrol.com/,California Spending Data - 2018,n/a,n/a,n/a,http://www.tovarpest.com/press-testimonials/
