Company,ActiveBrand,Headquarters,Continent,Employees,Founded,LeadExecutive,ParentStockTicker,ParentPublicExposure,PrimarySector,PrimarySubSector,ImmigrationDetentionInvolvement,SupportsPrisonLabor,HarmScore,AnnualRevenuesMn,RevenueFiscalYear,Website,Corrections,ImmigrationDetention,PrisonLabor,Financials,Other,Rank
GeneralDynamics,Y,VA,NorthAmerica,98600,1952,PhebeNovakovic,GD,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Equipment,SecurityTechnology,Y,n/a,15,39350.00,2019,https://www.gd.com/,SeeGeneralDynamicsMissionSystems,https://www.thenation.com/article/private-contractors-enable-trumps-cruelties-border/,n/a,FactSet,n/a,63
Caterpillar,Y,IL,NorthAmerica,98400,1892,D.JamesUmplebyIII,CAT,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,n/a,9,53800.00,2019,https://www.caterpillar.com/,OHDRCSpending,n/a,n/a,FactSet,n/a,42
DowDuPont,Y,DE,NorthAmerica,98000,1802,JimFitterling,DWDP,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Food&Commissary,PrisonFood,n/a,n/a,8,21512.00,2019,http://www.dow-dupont.com/,SeeSolaeBrookdale,n/a,n/a,FactSet,https://www.dow.com/en-us/news/press-releases/dupont-and-dow-to-combine-in-merger-of-equals,117
Alere,Y,MA,NorthAmerica,9700,1991,n/a,ABT,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Healthcare,Other,n/a,n/a,9,2376.30,2016,https://www.alere.com/,https://www.alere.com/en/home/products-services/toxicology/government.html,n/a,n/a,https://www.sec.gov/Archives/edgar/data/1145460/000119312517194626/d248572d10k.htm#toc248572_11,https://www.genomeweb.com/business-news/abbott-completes-alere-acquisition#.WrrwhYjwY2w,358
GlaxoSmithKline,Y,UnitedKingdom,Europe,95490,1924,EmmaWalmsley,GSK,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Healthcare,Pharmacy,n/a,n/a,9,43821.10,2019,https://www.gsk.com/,https://facts.fldfs.com/Search/ContractDetail.aspx?AgencyId=700000&ContractId=SA563&Tab=1,n/a,n/a,FactSet,n/a,53
CommunityHealthSystems,Y,TN,NorthAmerica,95000,1986,WayneT.Smith,CYH,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Healthcare,MedicalHealthcare,n/a,n/a,13,13210.00,2019,http://www.chs.net/,FBOPSpending,n/a,n/a,FactSet,n/a,167
Terminix,Y,TN,NorthAmerica,9500,1927,n/a,SERV,Tier1b-PubliclyTraded-Other,Construction&Maintenance,MaintenanceServices,n/a,n/a,7,1541.00,2017,https://www.terminix.com/,SeeSchendelPestServices,n/a,n/a,https://www.sec.gov/Archives/edgar/data/1428875/000142887518000032/serv-20171231x10k.htm,http://articles.chicagotribune.com/1994-09-01/business/9409010216_1_terminix-pest-acquires,415
CharterCommunications(dbaSpectrum),Y,CT,NorthAmerica,94800,1993,ThomasRutledge,CHTR,Tier1b-PubliclyTraded-Other,Data&InformationSystems,IT&CommuncationsInfrastructure&Service,n/a,n/a,7,45764.00,2019,http://ir.charter.com,SeeTimeWarnerCable,n/a,n/a,FactSet,https://www.wsj.com/articles/charter-communications-completes-55-billion-acquisition-of-time-warner-cable-1463581387,50
Roche,Y,Switzerland,Europe,94442,1896,SeverinSchwan,ROG-CH,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Healthcare,Pharmacy,Y,n/a,9,63435.70,2019,https://www.roche.com/,SeeGenentech,n/a,n/a,FactSet,https://www.nytimes.com/2009/03/13/business/worldbusiness/13drugs.html,36
3M,Y,MN,NorthAmerica,93516,1902,MikeRoman,MMM,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Programs&Labor,Vocation/Industries(PrisonLabor),n/a,Y,13,32136.00,2019,https://www.3m.com/3M/en_US/company-us/,https://www.nationalcia.org/corporate-members,n/a,https://www.nationalcia.org/corporate-members,FactSet,http://news.3m.com/press-release/company-english/3m-sell-its-electronic-monitoring-business-transportation-safety-divis,79
HDR,Y,NE,NorthAmerica,9294,1917,n/a,n/a,Tier3-LargePrivately-Ownedrequiresoutsidefinancing,Construction&Maintenance,Architecture&Engineerging,n/a,n/a,n/a,2460.00,2019,https://www.hdrInc.com/,https://www.hdrinc.com/markets/justice/corrections,n/a,n/a,PrivCo(www.privco.com),n/a,354
RoyalDutchShell,Y,Netherlands,Europe,92000,1907,BenVanBeurden,RDS.A,Tier1b-PubliclyTraded-Other,Construction&Maintenance,Utility/Energy,n/a,n/a,6,344877.00,2019,https://www.shell.com/,SeeMP2Energy,n/a,n/a,FactSet,n/a,1
Milliken&Company,Y,SC,NorthAmerica,9140,1865,n/a,n/a,Tier3-LargePrivately-Ownedrequiresoutsidefinancing,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,Y,n/a,530.00,2018,http://www.milliken.com/,https://www.nationalcia.org/corporate-members,n/a,Seecorrectionssource,PrivCo(www.privco.com),n/a,563
Conduent(formerlyXeroxServices),Y,NJ,NorthAmerica,90000,2016,CliffSkelton,CNDT,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Data&InformationSystems,ArrestCourt&ProbationDataSystems,n/a,n/a,11,4431.00,2019,https://www.conduent.com/,https://www.conduent.com/solution/public-service-delivery-solutions/justice/,n/a,n/a,FactSet,http://www.ijis.org/?page=Member_List,288
Fortis,Y,Canada,NorthAmerica,9000,1885,AshutoshRaghuvanshi,FTS,Tier1b-PubliclyTraded-Other,Construction&Maintenance,Utility/Energy,n/a,n/a,6,6626.40,2019,https://www.fortisinc.com/,SeeCentralHudsonGas&Electric,n/a,n/a,FactSet,https://www.fortisinc.com/news-and-media/details/fortis-inc-files-2019-year-end-disclosure-documents,240
MSCIndustrialSupply,Y,NY,NorthAmerica,9000,1941,ErikGershwind,MSM,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,n/a,10,3363.80,2019,https://www.mscdirect.com/,CaliforniaSpendingData-2018,n/a,n/a,FactSet,n/a,318
TrustHouseServicesGroup,N,NC,NorthAmerica,9000,2008,n/a,ELIOR-FR,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Food&Commissary,PrisonFood,n/a,Y,8,450.00,2012,n/a,SeeValleyA'viands,n/a,Adultprisonfoodserviceprovider,http://elior-na.com/trusthouse-services-group-valley-services-inc-merge/,n/a,592
VarsityBrands,Y,TN,NorthAmerica,9000,1974,AdamBlumefeld,n/a,Tier2-InvestmentFirm-Owned,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,n/a,7,1700.00,2018,http://www.varsitybrands.com,SeeBSNSports,n/a,n/a,PrivCo(www.privco.com),https://www.cnbc.com/2018/06/19/bain-nears-2-point-5-billion-deal-for-cheer-uniform-leader-varsity-brands.html,402
CRH,Y,Ireland,Europe,89831,1970,AlbertManifold,CRH-GB,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Construction&Maintenance,Construction,n/a,n/a,12,26896.30,2019,http://www.crh.com/,SeeOldcastlePrecast,n/a,n/a,FactSet,n/a,99
Anixter,Y,IL,NorthAmerica,8900,1957,RobertEck,AXE,Tier1b-PubliclyTraded-Other,Equipment,SecurityTechnology,n/a,n/a,7,8845.60,2019,https://www.anixter.com,https://www.anixter.com/content/dam/anixter/resources/case-studies/anixter-state-prison-upgrades-perimeter-security-with-anixter-case-studies-en.pdf,n/a,n/a,FactSet,n/a,219
Veritiv(formerlyXpedx),Y,GA,NorthAmerica,8900,2014,MaryLaschinger,VRTV,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,Y,9,7659.40,2019,https://www.veritivcorp.com/,TDCJSpending,n/a,Seecorrectionssource,FactSet,n/a,227
Groz-Beckert,Y,Germany,Europe,8800,1852,n/a,n/a,Tier3-LargePrivately-Ownedrequiresoutsidefinancing,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,Y,n/a,910.20,2017,https://www.groz-beckert.com/,https://www.nationalcia.org/corporate-members,n/a,https://www.nationalcia.org/corporate-members,https://www.groz-beckert.com/en/company/about-groz-beckert/laboratory/,n/a,496
GraybarElectricCompany,Y,MO,NorthAmerica,8789,1869,n/a,n/a,Tier3-LargePrivately-Ownedrequiresoutsidefinancing,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,n/a,n/a,7202.50,2018,https://www.graybar.com/,FLDOCSpending,n/a,n/a,PrivCo(www.privco.com),n/a,231
Siemens,Y,Germany,Europe,87800,1847,JoeKaeser,SIE-DE,Tier1b-PubliclyTraded-Other,Construction&Maintenance,MaintenanceServices,n/a,n/a,7,94226.80,2019,https://www.siemens.com/,NYSDOCCSSpending,n/a,n/a,FactSet,n/a,21
AECOM,Y,CA,NorthAmerica,87225,1980,MichaelS.Burke,ACM,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Construction&Maintenance,Architecture&Engineerging,Y,n/a,13,20173.30,2019,http://www.aecom.com/,http://www.aecom.com/ca/markets/government/justice/,https://worthrises.org/immigration,n/a,FactSet,n/a,121
Engility,Y,VA,NorthAmerica,8700,2012,n/a,SAIC,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Data&InformationSystems,IT&CommuncationsInfrastructure&Service,n/a,n/a,9,1931.90,2017,http://www.engilitycorp.com/,https://www.engility.com/case-studies/doj-infrastructure-program-management/#x2moT4CmIDdXqS2q.97,n/a,n/a,Intrinio(www.intrinio.com),https://www.defensenews.com/industry/2019/01/15/saic-completes-25b-engility-acquisition-deal/,388
FloridaPower&Light,Y,FL,NorthAmerica,8700,1925,n/a,NEE,Tier1b-PubliclyTraded-Other,Construction&Maintenance,Utility/Energy,n/a,n/a,6,11972.00,2017,https://www.fpl.com/,FLDOCSpending,n/a,n/a,https://www.sec.gov/Archives/edgar/data/37634/000075330818000013/nee-12312017x10k.htm#s789184F15AA15C059F9BCFA1A34FE759,http://www.nexteraenergy.com/news/contents/2016/072916b.shtml,175
Management&TrainingCorp(MTC),Y,UT,NorthAmerica,8650,1981,n/a,n/a,Tier3-LargePrivately-Ownedrequiresoutsidefinancing,Operations&Management,PrivatePrisonOperator,Y,Y,n/a,820.00,2018,https://www.mtctrains.com/,Seewebsite,https://www.motherjones.com/politics/2017/02/trumps-immigration-detention-center-expansion/,Adultprivatefacilityoperator,PrivCo(www.privco.com),n/a,508
Univar,Y,IL,NorthAmerica,8600,1924,DavidC.Jukes,UNVR,Tier1b-PubliclyTraded-Other,Construction&Maintenance,MaintenanceServices,n/a,Y,9,9286.90,2019,http://www.univar.com/,TDCJSpending,n/a,Seecorrectionssource,FactSet,n/a,210
BAESystems,Y,UnitedKingdom,Europe,85800,1996,CharlesWoodburn,BA-GB,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Equipment,SecurityTechnology,n/a,n/a,15,22782.40,2019,https://www.baesystems.com/,SeeFairchildImagery,n/a,n/a,FactSet,n/a,110
TDBank,Y,Canada,NorthAmerica,85000,1955,GregoryB.Braca,TD,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Investor,ConstructionEquipment&AcquisitionFinancing,n/a,n/a,9,31145.20,2019,https://www.tdbank.com/,FLDOCSpending,n/a,n/a,FactSet,n/a,83
EnergyFutureHoldings,Y,TX,NorthAmerica,8500,1882,n/a,SRE,Tier1b-PubliclyTraded-Other,Construction&Maintenance,Utility/Energy,n/a,n/a,6,5500.00,2017,http://www.energyfutureholdings.com,SeeOncorElectricDelivery,n/a,n/a,PrivCo(www.privco.com),https://www.transmissionhub.com/articles/2018/03/sempra-energy-9-45bn-acquisition-of-energy-future-holdings-complete.html,259
EnergyTransferPartners,Y,TX,NorthAmerica,8494,2017,KelcyWarren,ETP-PD,Tier1b-PubliclyTraded-Other,Construction&Maintenance,Utility/Energy,n/a,n/a,6,54032.00,2019,http://www.energytransfer.com/,TDCJSpending,n/a,n/a,FactSet,http://ir.energytransfer.com/phoenix.zhtml?c=106094&p=irol-about,41
Barclays,Y,UnitedKingdom,Europe,83500,1690,JesStaley,BCS,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Investor,ConstructionEquipment&AcquisitionFinancing,n/a,n/a,9,28238.40,2019,https://www.home.barclays/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,FactSet,n/a,93
BioRadLaboratories,Y,CA,NorthAmerica,8250,1952,NormanDavidSchwartz,BIO,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Healthcare,Other,n/a,n/a,10,2311.70,2019,http://www.bio-rad.com/,https://facts.fldfs.com/Search/PurchaseOrderDetails.aspx?AgencyId=700000&PONo=PO250450&Tab=1,n/a,n/a,FactSet,n/a,361
McKee,Y,TN,NorthAmerica,8200,1934,n/a,n/a,Tier3-LargePrivately-Ownedrequiresoutsidefinancing,Food&Commissary,Commissary,n/a,n/a,n/a,1400.00,2018,https://www.mckeefoods.com/www,NYSDOCCSSpending,n/a,n/a,PrivCo(www.privco.com),n/a,433
NewBalance,Y,MA,NorthAmerica,8200,1906,n/a,n/a,Tier3-LargePrivately-Ownedrequiresoutsidefinancing,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,n/a,n/a,4100.00,2018,http://www.newbalance.com/,SeeRockportWorks,n/a,n/a,PrivCo(www.privco.com),http://www.berkshirepartners.com/berkshire-partners-and-new-balance-holding-complete-acquisition-of-the-rockport-company,300
ServiceNow,Y,CA,NorthAmerica,8154,2004,BillMcDermott,NOW,Tier1b-PubliclyTraded-Other,Data&InformationSystems,IT&CommuncationsInfrastructure&Service,Y,n/a,8,3460.40,2019,https://www.servicenow.com/,n/a,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,FactSet,n/a,315
AirFranceKLM,Y,France,Europe,81521,1919,AnneRigail,AF-FR,Tier1b-PubliclyTraded-Other,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,n/a,8,29498.70,2019,http://www.airfranceklm.com/en,SeeBarfield,n/a,n/a,FactSet,http://www.afiklmem.com/AFIKLMEM/en/g_page_standard/OurNetwork/Subsidiaries/Barfield.html,84
ALIGroup,Y,Italy,Europe,8070,1968,n/a,n/a,Tier3-LargePrivately-Ownedrequiresoutsidefinancing,Food&Commissary,KitchenEquipment,n/a,n/a,n/a,1853.90,2014,https://www.aligroup.it/,SeeAladdinTemp-RiteBurlodgeEdlundVictoryRefrigeration,n/a,n/a,PrivCo(www.privco.com),https://www.floorplangenie.com/Events/fpg_ACFSA/ACFSA2017/Public/fpg.aspx,392
CBRE,Y,CA,NorthAmerica,80000,1906,RobertE.Sulentic,CBRE,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Operations&Management,ProcurementContracting&OtherAdminServices,n/a,n/a,11,23894.10,2019,https://www.cbre.com/,FLDOCSpending,n/a,n/a,FactSet,n/a,106
Thales,Y,France,Europe,80000,2000,PatriceCaine,HO.PA,Tier1a-PubliclyTraded-TargetedCorrectionalExposure,Equipment,SecurityEquipment,n/a,n/a,12,19964.30,2019,https://www.thalesgroup.com/en,SeeCogentSystems,n/a,n/a,FactSet,n/a,123
WalshGroup,Y,IL,NorthAmerica,8000,1898,n/a,n/a,Tier3-LargePrivately-Ownedrequiresoutsidefinancing,Construction&Maintenance,Construction,n/a,n/a,n/a,4309.80,2018,https://www.walshgroup.com/,https://www.walshgroup.com/ourexperience/building/correctional.html,n/a,n/a,PrivCo(www.privco.com),n/a,294
CenterPointEnergy,Y,TX,NorthAmerica,7977,2002,JohnW.SomerhalderII,CNP,Tier1b-PubliclyTraded-Other,Construction&Maintenance,Utility/Energy,n/a,n/a,6,12301.00,2019,http://www.centerpointenergy.com/en-us/,TDCJSpending,n/a,n/a,FactSet,n/a,173
